time_window,total_logs,error_count,warn_count,error_rate,warn_rate,unique_classes,unique_threads,avg_message_length,exception_count,exception_rate,unique_files,info_count,debug_count,top_class,top_class_count,top_class_hash,anomaly_score
2025-06-27 09:00:00,8173,0,0,0.32313715893796646,0.0,60,28,124.16114034014437,0,0.0,8,425,6676,i.l.c.p.CommandHandler,2077,599,-5.472877
2025-06-27 09:10:00,14775,0,0,0.24913705583756346,0.0,52,27,107.48744500846024,0,0.0,8,442,8894,o.h.t.d.s.BasicExtractor,4265,188,-5.806675
2025-06-27 09:20:00,41109,0,0,0.2526210805419738,0.0,36,27,107.31980831448101,0,0.0,8,866,23246,o.h.t.d.s.BasicExtractor,15134,188,-12.1938
2025-06-27 09:30:00,5189,0,0,0.29196376951243014,0.0,33,28,113.54461360570437,0,0.0,8,218,3937,i.l.c.p.CommandHandler,1241,599,-3.5657468
2025-06-27 09:40:00,11265,0,14,0.25920994229915667,0.0012427873945849977,80,33,107.73706169551708,4,0.0003550821127385708,9,229,7294,o.h.t.d.s.BasicExtractor,2565,188,-6.9570107
2025-06-27 09:50:00,9911,0,0,0.31227928564221574,0.0,34,31,120.93915851074564,0,0.0,8,532,6987,i.l.c.p.CommandHandler,2575,599,-5.3664217
2025-06-27 10:00:00,30566,0,6,0.23797683700844074,0.00019629653863770203,67,33,104.87518811751619,4,0.00013086435909180134,9,303,17543,o.h.t.d.s.BasicExtractor,11120,188,-9.86532
2025-06-27 10:10:00,79705,0,0,0.24132739476820778,0.0,21,26,104.68550279154381,0,0.0,8,571,44270,o.h.t.d.s.BasicExtractor,31916,188,-22.754179
2025-06-27 10:30:00,43799,0,0,0.22123792780657092,0.0,39,27,100.84787323911505,0,0.0,8,623,22486,o.h.t.d.s.BasicExtractor,18973,188,-11.620608
2025-06-27 10:40:00,8352,0,0,0.23467432950191572,0.0,27,30,102.96647509578544,0,0.0,8,324,4950,o.h.t.d.s.BasicExtractor,2025,188,-4.166396
2025-06-27 10:50:00,8397,0,6,0.2661664880314398,0.0007145409074669524,77,35,112.30903894247946,4,0.00047636060497796833,9,366,5465,i.l.c.p.CommandHandler,1802,599,-5.871732
2025-06-27 11:00:00,5961,2,0,0.19778560644187218,0.0,33,28,99.14779399429626,2,0.00033551417547391375,8,212,3258,o.h.t.d.s.BasicExtractor,1459,188,-3.8266904
2025-06-27 11:10:00,29565,0,0,0.21799424995772027,0.0,33,27,100.78606460341621,0,0.0,8,505,14821,o.h.t.d.s.BasicExtractor,12549,188,-8.086711
2025-06-27 11:20:00,12897,0,0,0.24850740482282702,0.0,22,28,106.26137861518183,0,0.0,8,320,7488,o.h.t.d.s.BasicExtractor,3884,188,-4.850121
2025-06-27 11:30:00,10340,0,0,0.31963249516441006,0.0,32,28,122.44893617021276,0,0.0,8,344,7449,i.l.c.p.CommandHandler,2713,599,-5.2221994
2025-06-27 11:40:00,3791,0,0,0.05011870218939594,0.0,19,18,69.14850962806648,0,0.0,8,52,1306,o.h.t.d.s.BasicExtractor,1459,188,-3.3329644
2025-06-27 11:50:00,4827,0,0,0.2517091361093847,0.0,39,27,108.15682618603688,0,0.0,8,200,3577,o.h.t.d.s.BasicBinder,962,752,-3.0043316
2025-06-27 13:30:00,7885,0,0,0.16093849080532657,0.0,44,27,90.4861128725428,0,0.0,8,206,3810,o.h.t.d.s.BasicExtractor,2825,188,-3.7615561
2025-06-27 13:40:00,3695,0,0,0.03247631935047361,0.0,19,27,66.23328822733424,0,0.0,8,193,1203,o.h.t.d.s.BasicExtractor,1329,188,-3.3949819
2025-06-27 13:50:00,43518,0,0,0.22990486695160622,0.0,36,29,103.1109655774622,0,0.0,8,503,23441,o.h.t.d.s.BasicExtractor,17625,188,-12.149711
2025-06-27 14:00:00,2942,0,0,0.0,0.0,14,25,58.098232494901424,0,0.0,8,80,921,o.h.t.d.s.BasicExtractor,976,188,-3.6036146
2025-06-27 14:20:00,11613,0,6,0.19237061913372944,0.0005166623611469904,62,34,96.8232153620942,4,0.0003444415740979936,9,177,6024,o.h.t.d.s.BasicExtractor,4262,188,-5.226466
2025-06-27 14:30:00,3527,0,0,0.0,0.0,14,25,63.851148284661186,0,0.0,8,209,918,o.h.t.d.s.BasicExtractor,1440,188,-3.5691514
2025-06-27 14:40:00,4006,0,0,0.07014478282576136,0.0,30,23,73.67324013979031,0,0.0,8,76,1510,o.h.t.d.s.BasicExtractor,1456,188,-3.3224113
2025-06-27 14:50:00,3943,0,0,0.0,0.0,24,26,63.68171443063657,0,0.0,8,98,986,o.h.t.d.s.BasicExtractor,1896,188,-3.3250566
2025-06-27 15:00:00,4383,0,0,0.0,0.0,14,25,64.42276979237965,0,0.0,8,77,924,o.h.t.d.s.BasicExtractor,2419,188,-3.4882996
2025-06-27 15:10:00,5270,0,0,0.0777988614800759,0.0,36,26,79.95787476280834,0,0.0,8,100,1818,o.h.t.d.s.BasicExtractor,2390,188,-3.3799744
2025-06-27 15:20:00,10801,0,0,0.2823812609943524,0.0,39,27,139.1649847236367,0,0.0,8,358,8278,i.l.c.p.CommandHandler,2523,599,-5.7657404
2025-06-27 15:40:00,8752,0,0,0.28393510054844606,0.0,45,26,118.077239488117,0,0.0,8,448,6269,i.l.c.p.CommandHandler,1992,599,-4.806895
2025-06-27 15:50:00,20344,0,7,0.31262288635469915,0.0003440817931576878,91,36,120.37495084545812,4,0.00019661816751867872,9,680,14308,i.l.c.p.CommandHandler,5188,599,-10.397821
2025-06-27 16:00:00,13799,0,0,0.36415682295818536,0.0,48,27,133.6223639394159,0,0.0,8,818,11332,i.l.c.p.CommandHandler,4016,599,-8.138477
2025-06-27 16:10:00,6491,3,0,0.24433831458943153,0.0,44,26,121.02403327684486,4,0.0006162378678169774,8,367,4653,i.l.c.p.CommandHandler,1313,599,-4.0227566
2025-06-27 16:30:00,15174,5,13,0.37432450243838145,0.0008567286147357322,89,37,132.23480954263871,9,0.0005931198102016608,9,624,12700,i.l.c.p.CommandHandler,4643,599,-9.774975
2025-06-27 16:40:00,25706,0,0,0.430833268497627,0.0,35,27,140.68567649575974,0,0.0,8,838,22603,i.l.c.p.CommandHandler,9029,599,-13.570044
2025-06-27 16:50:00,21160,0,0,0.4357750472589792,0.0,41,28,141.67211720226842,0,0.0,8,761,18783,i.l.c.p.CommandHandler,7545,599,-11.731661
2025-06-27 17:00:00,29382,0,9,0.4436729970730379,0.000306309985705534,83,34,144.28017153359198,5,0.00017017221428085221,9,1134,26773,i.l.c.p.CommandHandler,10628,599,-16.251955
2025-06-27 17:10:00,29505,0,0,0.44907642772411455,0.0,24,27,144.61399762752075,0,0.0,8,1033,27000,i.l.c.p.CommandHandler,10830,599,-15.965748
2025-06-27 17:20:00,67157,3,39,0.3225724794139107,0.0005807287401164436,106,35,122.90246735262147,7,0.00010423336361064371,9,1604,48183,i.l.c.p.CommandHandler,17680,599,-26.729607
2025-06-27 17:30:00,21981,0,0,0.44265502024475684,0.0,40,28,143.11073199581458,0,0.0,8,623,20206,i.l.c.p.CommandHandler,7914,599,-12.297498
2025-06-27 17:40:00,23322,0,0,0.4427150330160364,0.0,41,27,143.25100763227854,0,0.0,8,661,21383,i.l.c.p.CommandHandler,8422,599,-12.877705
2025-06-27 17:50:00,19230,0,0,0.35179407176287053,0.0,29,27,124.5956838273531,0,0.0,8,401,14553,i.l.c.p.CommandHandler,5503,599,-8.900621
2025-06-27 18:20:00,3397,4,6,0.12157786282013541,0.001766264350897851,82,34,81.79305269355314,8,0.0023550191345304682,9,233,2114,o.h.t.d.s.BasicBinder,1003,752,-5.62353
2025-06-27 18:30:00,9089,2,0,0.26064473539443284,0.0,35,27,119.95544064253494,2,0.00022004620970403785,8,859,7248,i.l.c.p.CommandHandler,1984,599,-6.4872856
2025-06-27 18:50:00,30369,4,6,0.3386018637426323,0.00019756989034871086,94,37,124.82528236030163,8,0.0002634265204649478,9,941,22587,i.l.c.p.CommandHandler,8317,599,-14.293643
2025-06-30 09:00:00,9770,0,0,0.345957011258956,0.0,47,29,129.03387922210848,0,0.0,8,525,8138,i.l.c.p.CommandHandler,2708,599,-6.009081
2025-06-30 09:10:00,21666,0,6,0.2526539278131635,0.00027693159789531985,81,32,107.4715222006831,4,0.00018462106526354657,9,315,13331,o.h.t.d.s.BasicExtractor,6592,188,-8.70385
2025-06-30 09:30:00,43512,0,0,0.294746276889134,0.0,40,28,116.92036679536679,0,0.0,8,764,28443,o.h.t.d.s.BasicExtractor,12380,188,-14.992471
2025-06-30 09:40:00,9297,0,0,0.16833387114122836,0.0,26,26,92.33881897386253,0,0.0,8,172,4368,o.h.t.d.s.BasicExtractor,3672,188,-3.4162784
2025-06-30 09:50:00,9214,0,0,0.094964184935967,0.0,22,26,79.82559149120902,0,0.0,8,203,2797,o.h.t.d.s.BasicExtractor,5166,188,-3.0398748
2025-06-30 10:00:00,13016,0,0,0.1667178856791641,0.0,33,27,105.75553165334972,0,0.0,8,554,6400,o.h.t.d.s.BasicExtractor,4946,188,-4.6048703
2025-06-30 10:10:00,88235,84,0,0.24447214824049412,0.0,41,27,105.41958406528022,12,0.00013600045333484446,8,826,49037,o.h.t.d.s.BasicExtractor,35403,188,-24.856104
2025-06-30 10:20:00,23683,14,0,0.33682388210953,0.0,66,29,126.16159270362708,2,8.444876071443651e-05,8,818,17050,i.l.c.p.CommandHandler,6461,599,-11.007535
2025-06-30 10:30:00,14884,0,0,0.3560870733673744,0.0,28,27,128.2368986831497,0,0.0,8,398,11349,i.l.c.p.CommandHandler,4311,599,-7.291103
2025-06-30 10:50:00,10103,0,0,0.2652677422547758,0.0,34,28,108.29535781451054,0,0.0,8,239,6605,i.l.c.p.CommandHandler,2184,599,-4.362454
2025-06-30 11:00:00,8188,0,0,0.325476306790425,0.0,41,29,123.51856375183195,0,0.0,8,515,6569,i.l.c.p.CommandHandler,2142,599,-5.191891
2025-06-30 11:10:00,6948,0,0,0.3267127230857801,0.0,34,28,119.1629245826137,0,0.0,8,271,5476,i.l.c.p.CommandHandler,1869,599,-4.261329
2025-06-30 11:20:00,12445,0,0,0.3973483326637204,0.0,40,29,135.5041382081157,0,0.0,8,473,10886,i.l.c.p.CommandHandler,4028,599,-7.424135
2025-06-30 13:00:00,6481,0,0,0.32093812683227896,0.0,38,28,119.61225119580311,0,0.0,8,305,5141,i.l.c.p.CommandHandler,1705,599,-4.1802335
2025-06-30 13:10:00,12894,0,0,0.21793082053668372,0.0,41,26,101.74833255777881,0,0.0,8,367,7419,o.h.t.d.s.BasicExtractor,3923,188,-4.7142286
2025-06-30 13:20:00,42473,0,0,0.2310879853083135,0.0,22,27,101.53740023073482,0,0.0,8,356,23407,o.h.t.d.s.BasicExtractor,16761,188,-12.44824
2025-06-30 13:30:00,14764,0,0,0.4124898401517204,0.0,41,28,137.84963424546194,0,0.0,8,560,12967,i.l.c.p.CommandHandler,4953,599,-8.472779
