sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority
13402,0.8572363257408142,10,CRITICAL,1.0,1,0,0,0,1
13400,0.999876081943512,10,CRITICAL,1.0,1,0,0,0,2
13403,0.9444303512573242,10,CRITICAL,1.0,1,0,0,0,3
13404,0.9375438094139099,10,CRITICAL,1.0,1,0,0,0,4
13405,0.8810370564460754,10,CRITICAL,1.0,1,0,0,0,5
13406,0.9243007302284241,10,CRITICAL,1.0,1,0,0,0,6
13407,0.9104251265525818,10,CRITICAL,1.0,1,0,0,0,7
13401,0.8389293551445007,10,CRITICAL,1.0,1,0,0,0,8
13408,0.91777104139328,10,CRITICAL,1.0,1,0,0,0,9
13409,0.8843459486961365,10,CRITICAL,1.0,1,0,0,0,10
18253,0.868881344795227,5,MEDIUM,0.7,0,0,1,2,11
18252,0.9125810265541077,5,MEDIUM,0.7,0,0,1,2,12
18254,0.9797834157943726,5,MEDIUM,0.7,0,0,1,2,13
18250,0.9879132509231567,5,MEDIUM,0.6,0,0,1,1,14
18249,0.9352254271507263,5,MEDIUM,0.6,0,0,1,1,15
18248,0.9986783266067505,5,MEDIUM,0.6,0,0,1,1,16
18255,0.8489391803741455,5,MEDIUM,0.6,0,0,1,1,17
18256,0.9808263182640076,5,MEDIUM,0.6,0,0,1,1,18
18257,0.9866692423820496,5,MEDIUM,0.6,0,0,1,1,19
18251,0.9904106855392456,5,MEDIUM,0.7,0,0,1,2,20
0,0.7434017658233643,5,MEDIUM,0.5,0,0,1,0,21
8,0.9634283781051636,5,MEDIUM,0.5,0,0,1,0,22
7,0.7495274543762207,5,MEDIUM,0.5,0,0,1,0,23
5,0.957203209400177,5,MEDIUM,0.5,0,0,1,0,24
4,0.7409217357635498,5,MEDIUM,0.5,0,0,1,0,25
3,0.7482362985610962,5,MEDIUM,0.5,0,0,1,0,26
2,0.7520159482955933,5,MEDIUM,0.5,0,0,1,0,27
1,0.7488991022109985,5,MEDIUM,0.5,0,0,1,0,28
6,0.7465023994445801,5,MEDIUM,0.5,0,0,1,0,29
18002,0.9999280571937561,1,LOW,0.1,0,0,0,1,30
17988,0.894514799118042,1,LOW,0.1,0,0,0,1,31
18008,0.9733603596687317,1,LOW,0.1,0,0,0,1,32
18007,0.9246721863746643,1,LOW,0.1,0,0,0,1,33
18006,0.9822673201560974,1,LOW,0.1,0,0,0,1,34
18005,0.8415948748588562,1,LOW,0.1,0,0,0,1,35
18004,0.8825123310089111,1,LOW,0.1,0,0,0,1,36
17984,0.9990930557250977,1,LOW,0.1,0,0,0,1,37
17985,0.9545125961303711,1,LOW,0.1,0,0,0,1,38
17986,0.9210631847381592,1,LOW,0.1,0,0,0,1,39
