sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority
0,1.254549941949199,5,MEDIUM,0.5,0,0,1,0,1
18015,1.2726983392972484,1,LOW,0.1,0,0,0,1,2
14925,2.174064712468267,1,LOW,0.1,0,0,0,1,3
14924,2.218404631156149,1,LOW,0.1,0,0,0,1,4
14923,2.218404631156149,1,LOW,0.1,0,0,0,1,5
14922,2.218404631156149,1,LOW,0.1,0,0,0,1,6
14921,2.1740647124682666,1,LOW,0.1,0,0,0,1,7
14831,1.152298479841652,1,LOW,0.1,0,0,0,1,8
14832,1.374485098982394,1,LOW,0.1,0,0,0,1,9
14833,1.596671718123136,1,LOW,0.1,0,0,0,1,10
15276,1.3046425517971607,1,LOW,0.1,0,0,0,1,11
18016,1.2726983392972484,1,LOW,0.2,0,0,0,2,12
18036,1.3046425517971607,1,LOW,0.1,0,0,0,1,13
18020,1.2726983392972484,1,LOW,0.2,0,0,0,2,14
18021,1.2726983392972484,1,LOW,0.2,0,0,0,2,15
18022,1.2726983392972484,1,LOW,0.2,0,0,0,2,16
14958,2.294073951511601,1,LOW,0.1,0,0,0,1,17
18024,1.2726983392972484,1,LOW,0.2,0,0,0,2,18
18031,1.3046425517971607,1,LOW,0.1,0,0,0,1,19
18032,1.3046425517971607,1,LOW,0.1,0,0,0,1,20
18033,1.3046425517971607,1,LOW,0.1,0,0,0,1,21
18034,1.3046425517971607,1,LOW,0.1,0,0,0,1,22
14926,2.1297247937803845,1,LOW,0.1,0,0,0,1,23
14927,2.1740647124682666,1,LOW,0.1,0,0,0,1,24
14928,2.218404631156149,1,LOW,0.1,0,0,0,1,25
14929,2.218404631156149,1,LOW,0.1,0,0,0,1,26
14960,2.294073951511601,1,LOW,0.1,0,0,0,1,27
14957,2.294073951511601,1,LOW,0.1,0,0,0,1,28
14956,2.294073951511601,1,LOW,0.1,0,0,0,1,29
14955,2.294073951511601,1,LOW,0.1,0,0,0,1,30
14954,1.8780333628752084,1,LOW,0.1,0,0,0,1,31
14953,1.8780333628752084,1,LOW,0.1,0,0,0,1,32
14952,1.9223732815630907,1,LOW,0.1,0,0,0,1,33
14951,1.9962180120154072,1,LOW,0.1,0,0,0,1,34
14940,1.6853515554989007,1,LOW,0.1,0,0,0,1,35
14939,1.6410116368110181,1,LOW,0.1,0,0,0,1,36
14938,1.6853515554989007,1,LOW,0.1,0,0,0,1,37
14937,1.951878093327525,1,LOW,0.1,0,0,0,1,38
14936,1.9962180120154072,1,LOW,0.1,0,0,0,1,39
14935,2.218404631156149,1,LOW,0.1,0,0,0,1,40
14934,2.218404631156149,1,LOW,0.1,0,0,0,1,41
14933,2.218404631156149,1,LOW,0.1,0,0,0,1,42
14932,2.1740647124682666,1,LOW,0.1,0,0,0,1,43
14931,2.174064712468267,1,LOW,0.1,0,0,0,1,44
14930,2.174064712468267,1,LOW,0.1,0,0,0,1,45
18035,1.3046425517971607,1,LOW,0.1,0,0,0,1,46
18023,1.2726983392972484,1,LOW,0.2,0,0,0,2,47
14959,2.294073951511601,1,LOW,0.1,0,0,0,1,48
18202,1.3046425517971607,1,LOW,0.1,0,0,0,1,49
18910,1.254549941949199,1,LOW,0.2,0,0,0,2,50
18909,1.254549941949199,1,LOW,0.2,0,0,0,2,51
18886,1.2726983392972484,1,LOW,0.1,0,0,0,1,52
18885,1.2726983392972484,1,LOW,0.1,0,0,0,1,53
18884,1.2726983392972484,1,LOW,0.2,0,0,0,2,54
18913,1.3046425517971607,1,LOW,0.1,0,0,0,1,55
18914,1.3046425517971607,1,LOW,0.1,0,0,0,1,56
18915,1.3046425517971607,1,LOW,0.1,0,0,0,1,57
18916,1.254549941949199,1,LOW,0.1,0,0,0,1,58
18912,1.3046425517971607,1,LOW,0.1,0,0,0,1,59
18219,1.321562024531722,1,LOW,0.1,0,0,0,1,60
18218,1.321562024531722,1,LOW,0.1,0,0,0,1,61
18217,1.321562024531722,1,LOW,0.1,0,0,0,1,62
18216,1.321562024531722,1,LOW,0.1,0,0,0,1,63
