sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority
0,2.0863161929666183,5,MEDIUM,0.5,0,0,1,0,1
543,1.2918968541707783,5,MEDIUM,0.5,0,0,1,0,2
542,1.2918968541707783,5,MEDIUM,0.5,0,0,1,0,3
45546,1.2918968541707783,1,LOW,0.3,0,0,0,3,4
45536,1.3282880192385513,1,LOW,0.1,0,0,0,1,5
45537,1.3282880192385513,1,LOW,0.1,0,0,0,1,6
45538,1.3282880192385513,1,LOW,0.1,0,0,0,1,7
45544,1.2918968541707783,1,LOW,0.2,0,0,0,2,8
45545,1.2918968541707783,1,LOW,0.3,0,0,0,3,9
45548,1.2918968541707783,1,LOW,0.3,0,0,0,3,10
45547,1.2918968541707783,1,LOW,0.3,0,0,0,3,11
45534,1.3282880192385513,1,LOW,0.2,0,0,0,2,12
45549,1.2918968541707783,1,LOW,0.3,0,0,0,3,13
4455,1.2918968541707783,1,LOW,0.1,0,0,0,1,14
4454,1.2918968541707783,1,LOW,0.1,0,0,0,1,15
4453,1.2918968541707783,1,LOW,0.1,0,0,0,1,16
45535,1.3282880192385513,1,LOW,0.2,0,0,0,2,17
45533,1.3282880192385513,1,LOW,0.2,0,0,0,2,18
4451,1.2918968541707783,1,LOW,0.1,0,0,0,1,19
45520,1.3601542409826368,1,LOW,0.2,0,0,0,2,20
11731,1.0943208083187816,1,LOW,0.1,0,0,0,1,21
45515,2.6057230996157785,1,LOW,0.3,0,0,0,3,22
45516,2.6057230996157785,1,LOW,0.3,0,0,0,3,23
45517,1.948809976893278,1,LOW,0.3,0,0,0,3,24
45518,1.948809976893278,1,LOW,0.3,0,0,0,3,25
45519,1.2918968541707783,1,LOW,0.3,0,0,0,3,26
45521,1.3601542409826368,1,LOW,0.2,0,0,0,2,27
45529,1.3282880192385513,1,LOW,0.1,0,0,0,1,28
45522,1.3601542409826368,1,LOW,0.1,0,0,0,1,29
45523,1.3601542409826368,1,LOW,0.1,0,0,0,1,30
45524,1.3601542409826368,1,LOW,0.1,0,0,0,1,31
45525,1.3601542409826368,1,LOW,0.1,0,0,0,1,32
45526,1.3601542409826368,1,LOW,0.1,0,0,0,1,33
45527,1.3601542409826368,1,LOW,0.1,0,0,0,1,34
4452,1.2918968541707783,1,LOW,0.1,0,0,0,1,35
4447,1.2918968541707783,1,LOW,0.1,0,0,0,1,36
4450,1.2918968541707783,1,LOW,0.1,0,0,0,1,37
45683,1.3282880192385513,1,LOW,0.2,0,0,0,2,38
45736,1.9789218371815531,1,LOW,0.1,0,0,0,1,39
45735,1.9789218371815531,1,LOW,0.1,0,0,0,1,40
4143,1.4109654511124026,1,LOW,0.1,0,0,0,1,41
4151,1.4323583652613285,1,LOW,0.1,0,0,0,1,42
4152,1.4323583652613285,1,LOW,0.2,0,0,0,2,43
4153,2.0892714879838286,1,LOW,0.2,0,0,0,2,44
4154,1.948809976893278,1,LOW,0.2,0,0,0,2,45
4155,1.948809976893278,1,LOW,0.2,0,0,0,2,46
4156,1.948809976893278,1,LOW,0.2,0,0,0,2,47
4157,1.948809976893278,1,LOW,0.1,0,0,0,1,48
4158,1.948809976893278,1,LOW,0.1,0,0,0,1,49
4159,1.948809976893278,1,LOW,0.1,0,0,0,1,50
4160,1.2918968541707783,1,LOW,0.1,0,0,0,1,51
45684,1.3282880192385513,1,LOW,0.3,0,0,0,3,52
45682,1.3282880192385513,1,LOW,0.1,0,0,0,1,53
11733,1.3916312203827783,1,LOW,0.1,0,0,0,1,54
45681,1.3282880192385513,1,LOW,0.1,0,0,0,1,55
45680,1.074248044154817,1,LOW,0.1,0,0,0,1,56
45651,1.3927210569371062,1,LOW,0.1,0,0,0,1,57
45650,1.3927210569371062,1,LOW,0.2,0,0,0,2,58
45649,1.3927210569371062,1,LOW,0.3,0,0,0,3,59
45648,1.7454819953054708,1,LOW,0.3,0,0,0,3,60
45647,1.7454819953054708,1,LOW,0.3,0,0,0,3,61
45646,1.7454819953054708,1,LOW,0.4,0,0,0,4,62
45645,1.7454819953054708,1,LOW,0.3,0,0,0,3,63
45644,1.3579324532334223,1,LOW,0.3,0,0,0,3,64
45643,1.3579324532334223,1,LOW,0.3,0,0,0,3,65
45642,1.3579324532334223,1,LOW,0.4,0,0,0,4,66
45551,1.2918968541707783,1,LOW,0.2,0,0,0,2,67
45550,1.2918968541707783,1,LOW,0.3,0,0,0,3,68
11732,1.3916312203827783,1,LOW,0.1,0,0,0,1,69
11734,1.3916312203827783,1,LOW,0.1,0,0,0,1,70
45738,1.948809976893278,1,LOW,0.2,0,0,0,2,71
34031,1.5405139096176743,1,LOW,0.2,0,0,0,2,72
45038,1.9572323709252866,1,LOW,0.2,0,0,0,2,73
45037,1.9572323709252866,1,LOW,0.2,0,0,0,2,74
34175,1.074248044154817,1,LOW,0.1,0,0,0,1,75
34174,1.074248044154817,1,LOW,0.1,0,0,0,1,76
34173,1.074248044154817,1,LOW,0.1,0,0,0,1,77
34040,1.5405139096176743,1,LOW,0.1,0,0,0,1,78
34039,1.5405139096176743,1,LOW,0.1,0,0,0,1,79
34038,1.5405139096176743,1,LOW,0.1,0,0,0,1,80
34037,1.5405139096176743,1,LOW,0.1,0,0,0,1,81
34036,1.5405139096176743,1,LOW,0.2,0,0,0,2,82
34035,1.5405139096176743,1,LOW,0.2,0,0,0,2,83
34034,1.5405139096176743,1,LOW,0.3,0,0,0,3,84
34033,1.5405139096176743,1,LOW,0.3,0,0,0,3,85
34032,1.5405139096176743,1,LOW,0.3,0,0,0,3,86
33560,1.2918968541707783,1,LOW,0.1,0,0,0,1,87
11735,1.3916312203827783,1,LOW,0.1,0,0,0,1,88
33559,1.2918968541707783,1,LOW,0.1,0,0,0,1,89
33558,1.2918968541707783,1,LOW,0.1,0,0,0,1,90
39696,1.1666612631728577,1,LOW,0.2,0,0,0,2,91
37689,1.5683305380176653,1,LOW,0.1,0,0,0,1,92
37688,1.8375587047633848,1,LOW,0.1,0,0,0,1,93
37687,1.8375587047633848,1,LOW,0.1,0,0,0,1,94
37686,1.5683305380176653,1,LOW,0.1,0,0,0,1,95
37685,1.2991023712719458,1,LOW,0.1,0,0,0,1,96
37684,1.0298742045262266,1,LOW,0.1,0,0,0,1,97
37683,1.0298742045262266,1,LOW,0.1,0,0,0,1,98
37440,1.151111107721547,1,LOW,0.1,0,0,0,1,99
37441,1.151111107721547,1,LOW,0.1,0,0,0,1,100
37442,1.151111107721547,1,LOW,0.1,0,0,0,1,101
37443,1.151111107721547,1,LOW,0.1,0,0,0,1,102
45039,1.9572323709252866,1,LOW,0.2,0,0,0,2,103
45040,1.9572323709252866,1,LOW,0.2,0,0,0,2,104
45041,1.9572323709252866,1,LOW,0.2,0,0,0,2,105
45042,1.9572323709252866,1,LOW,0.2,0,0,0,2,106
11736,1.3916312203827783,1,LOW,0.1,0,0,0,1,107
11737,1.0943208083187816,1,LOW,0.1,0,0,0,1,108
45514,2.6057230996157785,1,LOW,0.4,0,0,0,4,109
45513,1.948809976893278,1,LOW,0.4,0,0,0,4,110
