sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority,risk_score,risk_level
87377,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,1,123.85353025637578,CRITICAL
87378,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,2,123.85353025637578,CRITICAL
87379,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,3,123.85353025637578,CRITICAL
87380,1.2489973439001743,8,HIGH,0.6666666666666666,0,1,0,2,4,102.44986719500872,CRITICAL
87381,1.2489973439001743,8,HIGH,0.6666666666666666,0,1,0,2,5,102.44986719500872,CRITICAL
87382,1.2489973439001743,8,HIGH,0.6,0,1,0,1,6,102.44986719500872,CRITICAL
457,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,7,141.21912060901315,CRITICAL
87372,1.4441868707835983,1,LOW,0.13333333333333333,0,0,0,2,8,77.20934353917991,HIGH
87368,1.2354779628889425,1,LOW,0.2,0,0,0,3,9,66.77389814444712,HIGH
87360,1.0538078170167502,1,LOW,0.13333333333333333,0,0,0,2,10,57.69039085083751,MEDIUM
87359,1.0538078170167502,1,LOW,0.13333333333333333,0,0,0,2,11,57.69039085083751,MEDIUM
87358,1.0538078170167502,1,LOW,0.06666666666666667,0,0,0,1,12,57.69039085083751,MEDIUM
87357,1.0538078170167502,1,LOW,0.06666666666666667,0,0,0,1,13,57.69039085083751,MEDIUM
87356,1.0538078170167502,1,LOW,0.06666666666666667,0,0,0,1,14,57.69039085083751,MEDIUM
87355,1.0538078170167502,1,LOW,0.06666666666666667,0,0,0,1,15,57.69039085083751,MEDIUM
68142,1.1401756884671743,1,LOW,0.06666666666666667,0,0,0,1,16,62.00878442335872,HIGH
87285,1.1268199602114188,1,LOW,0.13333333333333333,0,0,0,2,17,61.34099801057094,HIGH
87284,1.1268199602114188,1,LOW,0.13333333333333333,0,0,0,2,18,61.34099801057094,HIGH
87283,1.1268199602114188,1,LOW,0.13333333333333333,0,0,0,2,19,61.34099801057094,HIGH
87282,1.208457751723375,1,LOW,0.13333333333333333,0,0,0,2,20,65.42288758616874,HIGH
