sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority,risk_score,risk_level,log_count,log_levels,sample_messages
87377,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,1,123.85353025637578,CRITICAL,15,"INFO, ERROR, TRACE, DEBUG",<==      Total: 150 | binding parameter [1] as [TIMESTAMP] - [2025-07-04T15:22:47.905516945] | ==> Parameters: 1(String)
87378,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,2,123.85353025637578,CRITICAL,15,"INFO, ERROR, TRACE, DEBUG",binding parameter [1] as [TIMESTAMP] - [2025-07-04T15:22:47.905516945] | ==> Parameters: 1(String) | <==      Total: 0
87379,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,3,123.85353025637578,CRITICAL,15,"INFO, ERROR, DEBUG",==> Parameters: 1(String) | <==      Total: 0 | 🛰️ Accept-Language: en
87380,1.2489973439001743,8,HIGH,0.6666666666666666,0,1,0,2,4,102.44986719500872,CRITICAL,15,"INFO, ERROR, DEBUG",<==      Total: 0 | 🛰️ Accept-Language: en | ==> Parameters: 1(String)
87381,1.2489973439001743,8,HIGH,0.6666666666666666,0,1,0,2,5,102.44986719500872,CRITICAL,15,"INFO, ERROR, DEBUG",🛰️ Accept-Language: en | ==> Parameters: 1(String) | The total number of all instances in the client now is 7
87382,1.2489973439001743,8,HIGH,0.6,0,1,0,1,6,102.44986719500872,CRITICAL,15,"INFO, ERROR, TRACE, DEBUG",==> Parameters: 1(String) | The total number of all instances in the client now is 7 | Got delta update with apps hashcode UP_7_
457,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,7,141.21912060901315,CRITICAL,15,"INFO, TRACE, DEBUG",binding parameter [1] as [TIMESTAMP] - [2025-02-28T08:45:57.544885091] | binding parameter [1] as [TIMESTAMP] - [2025-02-28T08:47:22.579088724] | binding parameter [1] as [TIMESTAMP] - [2025-02-28T08:48:47.614102935]
87376,1.6770706051275155,1,LOW,0.13333333333333333,0,0,0,2,25,88.85353025637578,CRITICAL,15,"INFO, TRACE, DEBUG",Committing JDBC Connection [HikariProxyConnection@1596248346 wrapping org.postgresql.jdbc.PgConnection@10fd0f0] | <==      Total: 150 | binding parameter [1] as [TIMESTAMP] - [2025-07-04T15:22:47.905516945]
87374,1.6770706051275155,1,LOW,0.06666666666666667,0,0,0,1,27,88.85353025637578,CRITICAL,15,"INFO, TRACE, DEBUG",binding parameter [2] as [VARCHAR] - [N] | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_TRM_REG_RQSTDOC_CHCK(?) | Committing JDBC Connection [HikariProxyConnection@1596248346 wrapping org.postgresql.jdbc.PgConnection@10fd0f0]
87407,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,32,84.6797587606202,CRITICAL,15,"INFO, TRACE, DEBUG",JDBC Connection [HikariProxyConnection@1340959511 wrapping org.postgresql.jdbc.PgConnection@691e1a28] will not be managed by Spring | <==      Total: 0 | SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@60c9feb3] was not registered for synchronization because synchronization is not active
87406,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,33,84.6797587606202,CRITICAL,15,"INFO, TRACE, DEBUG",Committing JDBC Connection [HikariProxyConnection@918935773 wrapping org.postgresql.jdbc.PgConnection@5ac40ed] | JDBC Connection [HikariProxyConnection@1340959511 wrapping org.postgresql.jdbc.PgConnection@691e1a28] will not be managed by Spring | <==      Total: 0
87405,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,34,84.6797587606202,CRITICAL,15,"INFO, TRACE, DEBUG",extracted value ([col_1_0_] : [VARCHAR]) - [2025/07/5cf6c707-8384-47e7-a11f-3b2121bb0d31.txt] | Committing JDBC Connection [HikariProxyConnection@918935773 wrapping org.postgresql.jdbc.PgConnection@5ac40ed] | JDBC Connection [HikariProxyConnection@1340959511 wrapping org.postgresql.jdbc.PgConnection@691e1a28] will not be managed by Spring
87404,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,35,84.6797587606202,CRITICAL,15,"INFO, TRACE, DEBUG",extracted value ([col_0_0_] : [BIGINT]) - [331833871475261440] | extracted value ([col_1_0_] : [VARCHAR]) - [2025/07/5cf6c707-8384-47e7-a11f-3b2121bb0d31.txt] | Committing JDBC Connection [HikariProxyConnection@918935773 wrapping org.postgresql.jdbc.PgConnection@5ac40ed]
87403,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,36,84.6797587606202,CRITICAL,15,"INFO, TRACE, DEBUG",extracted value ([col_0_0_] : [BIGINT]) - [331833901179322368] | extracted value ([col_0_0_] : [BIGINT]) - [331833871475261440] | extracted value ([col_1_0_] : [VARCHAR]) - [2025/07/5cf6c707-8384-47e7-a11f-3b2121bb0d31.txt]
87402,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,37,84.6797587606202,CRITICAL,15,"INFO, TRACE, DEBUG",extracted value ([col_1_0_] : [VARCHAR]) - [2025/07/04cc5123-380e-4cca-8923-4b71dae3a224.txt] | extracted value ([col_0_0_] : [BIGINT]) - [331833901179322368] | extracted value ([col_0_0_] : [BIGINT]) - [331833871475261440]
87375,1.6770706051275155,1,LOW,0.13333333333333333,0,0,0,2,42,88.85353025637578,CRITICAL,15,"INFO, TRACE, DEBUG",==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_TRM_REG_RQSTDOC_CHCK(?) | Committing JDBC Connection [HikariProxyConnection@1596248346 wrapping org.postgresql.jdbc.PgConnection@10fd0f0] | <==      Total: 150
87027,1.6770706051275155,1,LOW,0.3333333333333333,0,0,0,5,57,88.85353025637578,CRITICAL,15,"INFO, DEBUG",==> Parameters: AM-01(String) | ==> Parameters: AM-02(String) | Committing JDBC Connection [HikariProxyConnection@828292173 wrapping org.postgresql.jdbc.PgConnection@4c394c04]
87026,1.6770706051275155,1,LOW,0.26666666666666666,0,0,0,4,58,88.85353025637578,CRITICAL,15,"INFO, DEBUG",Committing JDBC Connection [HikariProxyConnection@1344874371 wrapping org.postgresql.jdbc.PgConnection@21bbeef7] | ==> Parameters: AM-01(String) | ==> Parameters: AM-02(String)
87025,1.6770706051275155,1,LOW,0.2,0,0,0,3,59,88.85353025637578,CRITICAL,15,"INFO, TRACE, DEBUG",binding parameter [1] as [TIMESTAMP] - [2025-07-04T13:56:56.961989513] | Committing JDBC Connection [HikariProxyConnection@1344874371 wrapping org.postgresql.jdbc.PgConnection@21bbeef7] | ==> Parameters: AM-01(String)
87024,1.6770706051275155,1,LOW,0.13333333333333333,0,0,0,2,60,88.85353025637578,CRITICAL,15,"INFO, TRACE, DEBUG",Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@3c0dc60e] | binding parameter [1] as [TIMESTAMP] - [2025-07-04T13:56:56.961989513] | Committing JDBC Connection [HikariProxyConnection@1344874371 wrapping org.postgresql.jdbc.PgConnection@21bbeef7]
87023,1.6770706051275155,1,LOW,0.06666666666666667,0,0,0,1,61,88.85353025637578,CRITICAL,15,"INFO, TRACE, DEBUG",DiscoveryClient_SMETA/develop-server:smeta:9009 - Heartbeat status: 200 | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@3c0dc60e] | binding parameter [1] as [TIMESTAMP] - [2025-07-04T13:56:56.961989513]
87022,1.6770706051275155,1,LOW,0.06666666666666667,0,0,0,1,62,88.85353025637578,CRITICAL,15,"INFO, TRACE, DEBUG",JDBC Connection [HikariProxyConnection@1307472710 wrapping org.postgresql.jdbc.PgConnection@4c394c04] will not be managed by Spring | DiscoveryClient_SMETA/develop-server:smeta:9009 - Heartbeat status: 200 | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@3c0dc60e]
87021,1.6770706051275155,1,LOW,0.13333333333333333,0,0,0,2,63,88.85353025637578,CRITICAL,15,"INFO, TRACE, DEBUG",🛰️ Accept-Language: en | JDBC Connection [HikariProxyConnection@1307472710 wrapping org.postgresql.jdbc.PgConnection@4c394c04] will not be managed by Spring | DiscoveryClient_SMETA/develop-server:smeta:9009 - Heartbeat status: 200
87020,2.0417800964669612,1,LOW,0.06666666666666667,0,0,0,1,64,107.08900482334806,CRITICAL,15,"INFO, TRACE, DEBUG",==> Parameters: null | 🛰️ Accept-Language: en | JDBC Connection [HikariProxyConnection@1307472710 wrapping org.postgresql.jdbc.PgConnection@4c394c04] will not be managed by Spring
87273,1.5124071162432104,1,LOW,0.06666666666666667,0,0,0,1,69,80.62035581216053,CRITICAL,15,"INFO, TRACE, DEBUG","==> Parameters: jhong(String), jhong(String), jhong(String) | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@363fad6c] | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_WORD_REG_RQSTDOC_CHCK(?, ?, ?)"
