sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority,risk_score,risk_level
87377,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,1,45.54141210255031,MEDIUM
87378,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,2,45.54141210255031,MEDIUM
87379,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,3,150.0,CRITICAL
87380,1.2489973439001743,8,HIGH,0.6666666666666666,0,1,0,2,4,130.93984063401047,CRITICAL
87381,1.2489973439001743,8,HIGH,0.6666666666666666,0,1,0,2,5,130.93984063401047,CRITICAL
87382,1.2489973439001743,8,HIGH,0.6,0,1,0,1,6,130.93984063401047,CRITICAL
457,2.7243824121802636,1,LOW,0.06666666666666667,0,0,0,1,7,55.98764824360527,MEDIUM
87372,1.4441868707835983,1,LOW,0.13333333333333333,0,0,0,2,8,30.383737415671966,LOW
87368,1.2354779628889425,1,LOW,0.2,0,0,0,3,9,26.20955925777885,LOW
87360,1.0538078170167502,1,LOW,0.13333333333333333,0,0,0,2,10,70.22846902100501,HIGH
87359,1.0538078170167502,1,LOW,0.13333333333333333,0,0,0,2,11,70.22846902100501,HIGH
87358,1.0538078170167502,1,LOW,0.06666666666666667,0,0,0,1,12,70.22846902100501,HIGH
87357,1.0538078170167502,1,LOW,0.06666666666666667,0,0,0,1,13,70.22846902100501,HIGH
87356,1.0538078170167502,1,LOW,0.06666666666666667,0,0,0,1,14,70.22846902100501,HIGH
87355,1.0538078170167502,1,LOW,0.06666666666666667,0,0,0,1,15,70.22846902100501,HIGH
68142,1.1401756884671743,1,LOW,0.06666666666666667,0,0,0,1,16,75.41054130803046,HIGH
87285,1.1268199602114188,1,LOW,0.13333333333333333,0,0,0,2,17,74.60919761268514,HIGH
87284,1.1268199602114188,1,LOW,0.13333333333333333,0,0,0,2,18,24.036399204228378,LOW
87283,1.1268199602114188,1,LOW,0.13333333333333333,0,0,0,2,19,24.036399204228378,LOW
87282,1.208457751723375,1,LOW,0.13333333333333333,0,0,0,2,20,25.6691550344675,LOW
87281,1.208457751723375,1,LOW,0.13333333333333333,0,0,0,2,21,25.6691550344675,LOW
87280,1.290095543235331,1,LOW,0.13333333333333333,0,0,0,2,22,27.30191086470662,LOW
87279,1.290095543235331,1,LOW,0.13333333333333333,0,0,0,2,23,27.30191086470662,LOW
87371,1.4441868707835983,1,LOW,0.13333333333333333,0,0,0,2,24,30.383737415671966,LOW
87376,1.6770706051275155,1,LOW,0.13333333333333333,0,0,0,2,25,35.04141210255031,LOW
87373,1.4441868707835983,1,LOW,0.13333333333333333,0,0,0,2,26,30.383737415671966,LOW
87374,1.6770706051275155,1,LOW,0.06666666666666667,0,0,0,1,27,35.04141210255031,LOW
87412,1.1177503022547166,1,LOW,0.13333333333333333,0,0,0,2,28,23.85500604509433,LOW
87410,1.190587042983455,1,LOW,0.2,0,0,0,3,29,25.3117408596691,LOW
87409,1.190587042983455,1,LOW,0.13333333333333333,0,0,0,2,30,25.3117408596691,LOW
87408,1.190587042983455,1,LOW,0.13333333333333333,0,0,0,2,31,25.3117408596691,LOW
87407,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,32,33.37190350424808,LOW
