sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority,risk_score,risk_level,log_count,log_levels,sample_messages
87377,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,1,45.54141210255031,MEDIUM,15,"INFO, DEBUG, ERROR, TRACE",<==      Total: 150 | binding parameter [1] as [TIMESTAMP] - [2025-07-04T15:22:47.905516945] | ==> Parameters: 1(String)
87378,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,2,45.54141210255031,MEDIUM,15,"INFO, DEBUG, ERROR, TRACE",binding parameter [1] as [TIMESTAMP] - [2025-07-04T15:22:47.905516945] | ==> Parameters: 1(String) | <==      Total: 0
457,2.7243824121802636,1,LOW,0.06666666666666667,0,0,0,1,7,55.98764824360527,MEDIUM,15,"INFO, DEBUG, TRACE",binding parameter [1] as [TIMESTAMP] - [2025-02-28T08:45:57.544885091] | binding parameter [1] as [TIMESTAMP] - [2025-02-28T08:47:22.579088724] | binding parameter [1] as [TIMESTAMP] - [2025-02-28T08:48:47.614102935]
87020,2.0417800964669612,1,LOW,0.06666666666666667,0,0,0,1,64,42.33560192933923,MEDIUM,15,"DEBUG, TRACE, INFO",==> Parameters: null | 🛰️ Accept-Language: en | JDBC Connection [HikariProxyConnection@1307472710 wrapping org.postgresql.jdbc.PgConnection@4c394c04] will not be managed by Spring
87019,2.0417800964669612,1,LOW,0.06666666666666667,0,0,0,1,174,42.33560192933923,MEDIUM,15,"DEBUG, TRACE, INFO",SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@2e25ec2] was not registered for synchronization because synchronization is not active | ==> Parameters: null | 🛰️ Accept-Language: en
5372,2.7243824121802636,1,LOW,0.06666666666666667,0,0,0,1,350,55.98764824360527,MEDIUM,15,"DEBUG, TRACE, INFO",Got delta update with apps hashcode UP_5_ |  | 
46062,2.7243824121802636,1,LOW,0.06666666666666667,0,0,0,1,372,55.98764824360527,MEDIUM,15,"INFO, DEBUG, TRACE",extracted value ([mdfr_id4_15_] : [VARCHAR]) - [manager] | extracted value ([mdfr_id4_15_] : [VARCHAR]) - [manager] | extracted value ([mdfr_id4_15_] : [VARCHAR]) - [manager]
46063,2.7243824121802636,1,LOW,0.06666666666666667,0,0,0,1,380,55.98764824360527,MEDIUM,15,"INFO, DEBUG, TRACE",extracted value ([mdfr_id4_15_] : [VARCHAR]) - [manager] | extracted value ([mdfr_id4_15_] : [VARCHAR]) - [manager] | extracted value ([mdfr_id4_15_] : [VARCHAR]) - [manager]
46071,2.7243824121802636,1,LOW,0.06666666666666667,0,0,0,1,381,55.98764824360527,MEDIUM,15,"INFO, DEBUG, TRACE","binding parameter [1] as [VARCHAR] - [MENU_TYPE_CD] | Decode done, empty stack: true | Config resolved to [AwsEndpoint{ serviceUrl='http://192.168.0.54:9102/eureka/', region='us-east-1', zone='defaultZone'}]"
46064,2.7243824121802636,1,LOW,0.06666666666666667,0,0,0,1,382,55.98764824360527,MEDIUM,15,"INFO, DEBUG, TRACE",extracted value ([mdfr_id4_15_] : [VARCHAR]) - [manager] | extracted value ([mdfr_id4_15_] : [VARCHAR]) - [manager] | extracted value ([group_cd2_3_] : [VARCHAR]) - [SYS_CD]
