sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority,risk_score,risk_level,log_count,log_levels,sample_messages
87377,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,1,33.15605907691273,LOW,15,"TRACE, DEBUG, INFO, ERROR",<==      Total: 150 | binding parameter [1] as [TIMESTAMP] - [2025-07-04T15:22:47.905516945] | ==> Parameters: 1(String)
87378,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,2,33.15605907691273,LOW,15,"DEBUG, TRACE, INFO, ERROR",binding parameter [1] as [TIMESTAMP] - [2025-07-04T15:22:47.905516945] | ==> Parameters: 1(String) | <==      Total: 0
87372,1.4441868707835983,1,LOW,0.13333333333333333,0,0,0,2,8,22.662803061753976,LOW,15,"TRACE, DEBUG, INFO","==>  Preparing: select a.schm_nm , a.tbl_nm , a.tbl_desc , a.col_nm , a.col_desc , a.data_type_desc , case a.identity_type when 'S' then 'Serial' when 'A' then 'Always' when 'D' then 'by Default' else '' end as identity , a.domn_cd , a.domn_nm , a.null_yn , a.default_val from stdm.fn_row_tms_tbl_spec() a where nullif(?,'') is null or a.domn_cd = upper(?) order by a.schm_nm , a.tbl_nm , a.col_seq | doFilterInternal :::: null // null | binding parameter [2] as [VARCHAR] - [N]"
87280,1.290095543235331,1,LOW,0.13333333333333333,0,0,0,2,22,20.351433148529964,LOW,15,"TRACE, DEBUG, INFO",Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@5271f453] | doFilterInternal :::: null // null | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@69871155]
87279,1.290095543235331,1,LOW,0.13333333333333333,0,0,0,2,23,20.351433148529964,LOW,15,"TRACE, DEBUG, INFO","==> Parameters: jhong(String), jhong(String), jhong(String) | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@5271f453] | doFilterInternal :::: null // null"
87371,1.4441868707835983,1,LOW,0.13333333333333333,0,0,0,2,24,22.662803061753976,LOW,15,"DEBUG, TRACE, INFO","binding parameter [2] as [VARCHAR] - [N] | ==>  Preparing: select a.schm_nm , a.tbl_nm , a.tbl_desc , a.col_nm , a.col_desc , a.data_type_desc , case a.identity_type when 'S' then 'Serial' when 'A' then 'Always' when 'D' then 'by Default' else '' end as identity , a.domn_cd , a.domn_nm , a.null_yn , a.default_val from stdm.fn_row_tms_tbl_spec() a where nullif(?,'') is null or a.domn_cd = upper(?) order by a.schm_nm , a.tbl_nm , a.col_seq | doFilterInternal :::: null // null"
87376,1.6770706051275155,1,LOW,0.13333333333333333,0,0,0,2,25,26.156059076912733,LOW,15,"TRACE, DEBUG, INFO",Committing JDBC Connection [HikariProxyConnection@1596248346 wrapping org.postgresql.jdbc.PgConnection@10fd0f0] | <==      Total: 150 | binding parameter [1] as [TIMESTAMP] - [2025-07-04T15:22:47.905516945]
87373,1.4441868707835983,1,LOW,0.13333333333333333,0,0,0,2,26,22.662803061753976,LOW,15,"TRACE, DEBUG, INFO",doFilterInternal :::: null // null | binding parameter [2] as [VARCHAR] - [N] | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_TRM_REG_RQSTDOC_CHCK(?)
87374,1.6770706051275155,1,LOW,0.06666666666666667,0,0,0,1,27,26.156059076912733,LOW,15,"DEBUG, TRACE, INFO",binding parameter [2] as [VARCHAR] - [N] | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_TRM_REG_RQSTDOC_CHCK(?) | Committing JDBC Connection [HikariProxyConnection@1596248346 wrapping org.postgresql.jdbc.PgConnection@10fd0f0]
87407,1.593595175212404,1,LOW,0.13333333333333333,0,0,0,2,32,24.90392762818606,LOW,15,"TRACE, DEBUG, INFO",JDBC Connection [HikariProxyConnection@1340959511 wrapping org.postgresql.jdbc.PgConnection@691e1a28] will not be managed by Spring | <==      Total: 0 | SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@60c9feb3] was not registered for synchronization because synchronization is not active
