sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority,risk_score,risk_level,log_count,log_levels,sample_messages
87360,1.0538078170167502,1,LOW,0.13333333333333333,0,0,0,2,10,70.22846902100501,HIGH,15,"TRACE, DEBUG, INFO","==> Parameters: 1(String), null, (String) | ==> Parameters: | [channel=0x723e3117, /192.168.0.54:38456 -> 192.168.0.54/192.168.0.54:6379, epid=0x1, chid=0x1] write(ctx, AsyncCommand [type=SET, output=StatusOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command], promise)"
87359,1.0538078170167502,1,LOW,0.13333333333333333,0,0,0,2,11,70.22846902100501,HIGH,15,"TRACE, DEBUG, INFO","dispatching command AsyncCommand [type=GET, output=ValueOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command] | ==> Parameters: 1(String), null, (String) | ==> Parameters:"
87358,1.0538078170167502,1,LOW,0.06666666666666667,0,0,0,1,12,70.22846902100501,HIGH,15,"TRACE, DEBUG, INFO","[channel=0x723e3117, /192.168.0.54:38456 -> 192.168.0.54/192.168.0.54:6379] writing command AsyncCommand [type=GET, output=ValueOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command] | dispatching command AsyncCommand [type=GET, output=ValueOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command] | ==> Parameters: 1(String), null, (String)"
87357,1.0538078170167502,1,LOW,0.06666666666666667,0,0,0,1,13,70.22846902100501,HIGH,15,"TRACE, DEBUG, INFO","[channel=0x723e3117, /192.168.0.54:38456 -> 192.168.0.54/192.168.0.54:6379, epid=0x1] write() writeAndFlush command AsyncCommand [type=GET, output=ValueOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command] | [channel=0x723e3117, /192.168.0.54:38456 -> 192.168.0.54/192.168.0.54:6379] writing command AsyncCommand [type=GET, output=ValueOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command] | dispatching command AsyncCommand [type=GET, output=ValueOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command]"
87356,1.0538078170167502,1,LOW,0.06666666666666667,0,0,0,1,14,70.22846902100501,HIGH,15,"DEBUG, INFO","[channel=0x723e3117, /192.168.0.54:38456 -> 192.168.0.54/192.168.0.54:6379, epid=0x1, chid=0x1] Completing command AsyncCommand [type=GET, output=ValueOutput [output=[B@659a6844, error='null'], commandType=io.lettuce.core.protocol.Command] | [channel=0x723e3117, /192.168.0.54:38456 -> 192.168.0.54/192.168.0.54:6379, epid=0x1] write() writeAndFlush command AsyncCommand [type=GET, output=ValueOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command] | [channel=0x723e3117, /192.168.0.54:38456 -> 192.168.0.54/192.168.0.54:6379] writing command AsyncCommand [type=GET, output=ValueOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command]"
87355,1.0538078170167502,1,LOW,0.06666666666666667,0,0,0,1,15,70.22846902100501,HIGH,15,"DEBUG, INFO","DiscoveryClient_SMETA/develop-server:smeta:9009 - Heartbeat status: 200 | [channel=0x723e3117, /192.168.0.54:38456 -> 192.168.0.54/192.168.0.54:6379, epid=0x1, chid=0x1] Completing command AsyncCommand [type=GET, output=ValueOutput [output=[B@659a6844, error='null'], commandType=io.lettuce.core.protocol.Command] | [channel=0x723e3117, /192.168.0.54:38456 -> 192.168.0.54/192.168.0.54:6379, epid=0x1] write() writeAndFlush command AsyncCommand [type=GET, output=ValueOutput [output=null, error='null'], commandType=io.lettuce.core.protocol.Command]"
68142,1.1401756884671739,1,LOW,0.06666666666666667,0,0,0,1,16,75.41054130803043,HIGH,15,"TRACE, DEBUG, INFO",extracted value ([col_1_0_] : [VARCHAR]) - [2025/06/f4d7b89a-c298-43c3-bf6c-cb11a838e91b.jpg] | extracted value ([col_1_0_] : [VARCHAR]) - [2025/06/6e506c86-7ec7-47c5-ace5-e6558b7373d2.jpg] | extracted value ([col_0_0_] : [BIGINT]) - [327843085343674368]
87285,1.1268199602114188,1,LOW,0.13333333333333333,0,0,0,2,17,74.60919761268514,HIGH,15,"TRACE, DEBUG, INFO",Creating a new SqlSession | binding parameter [2] as [VARCHAR] - [N] | Creating a new SqlSession
87046,1.09863629215234,1,LOW,0.06666666666666667,0,0,0,1,46,72.91817752914041,HIGH,15,"DEBUG, INFO", | JDBC Connection [HikariProxyConnection@1247625253 wrapping org.postgresql.jdbc.PgConnection@35b99d1c] will not be managed by Spring | Creating a new SqlSession
64395,1.016113609556257,1,LOW,0.06666666666666667,0,0,0,1,48,67.96681657337543,HIGH,15,"DEBUG, INFO",==> Parameters: | ==> Parameters: 5(String) | doFilterInternal :::: ZmQwNDFlYmUtYWFmMS00MTQ1LWEzYzktZDQzMjFlNGI5ZDg4 // fd041ebe-aaf1-4145-a3c9-d4321e4b9d88
