sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority,sample_messages,risk_score,risk_level,log_count,log_levels
87368,1.2354779628889425,1,LOW,0.2,0,0,0,3,9,"==> Parameters: 1(String), null, (String) | 🛰️ Accept-Language: en | SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@2075881d] was not registered for synchronization because synchronization is not active",19.532169443334137,INFO,15,"TRACE, INFO, DEBUG"
68142,1.1401756884671739,1,LOW,0.06666666666666667,0,0,0,1,16,extracted value ([col_1_0_] : [VARCHAR]) - [2025/06/f4d7b89a-c298-43c3-bf6c-cb11a838e91b.jpg] | extracted value ([col_1_0_] : [VARCHAR]) - [2025/06/6e506c86-7ec7-47c5-ace5-e6558b7373d2.jpg] | extracted value ([col_0_0_] : [BIGINT]) - [327843085343674368],18.102635327007608,INFO,15,"TRACE, INFO, DEBUG"
87285,1.1268199602114188,1,LOW,0.13333333333333333,0,0,0,2,17,Creating a new SqlSession | binding parameter [2] as [VARCHAR] - [N] | Creating a new SqlSession,17.902299403171284,INFO,15,"TRACE, INFO, DEBUG"
87284,1.1268199602114188,1,LOW,0.13333333333333333,0,0,0,2,18,"==> Parameters: 1(String), null, (String) | Creating a new SqlSession | binding parameter [2] as [VARCHAR] - [N]",17.902299403171284,INFO,15,"TRACE, INFO, DEBUG"
87283,1.1268199602114188,1,LOW,0.13333333333333333,0,0,0,2,19,"==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_WORD_REG_RQSTDOC_CHCK(?, ?, ?) | ==> Parameters: 1(String), null, (String) | Creating a new SqlSession",17.902299403171284,INFO,15,"TRACE, INFO, DEBUG"
87282,1.208457751723375,1,LOW,0.13333333333333333,0,0,0,2,20,"Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@69871155] | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_WORD_REG_RQSTDOC_CHCK(?, ?, ?) | ==> Parameters: 1(String), null, (String)",19.126866275850624,INFO,15,"TRACE, INFO, DEBUG"
87281,1.208457751723375,1,LOW,0.13333333333333333,0,0,0,2,21,"doFilterInternal :::: null // null | Closing non transactional SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@69871155] | ==>  Preparing: SELECT * FROM STDM.FN_ROW_STD_WORD_REG_RQSTDOC_CHCK(?, ?, ?)",19.126866275850624,INFO,15,"TRACE, INFO, DEBUG"
87412,1.1177503022547166,1,LOW,0.13333333333333333,0,0,0,2,28,"==> Parameters: jhong(String), jhong(String), jhong(String) | JDBC Connection [HikariProxyConnection@305330267 wrapping org.postgresql.jdbc.PgConnection@691e1a28] will not be managed by Spring | <==      Total: 0",17.76625453382075,INFO,15,"TRACE, INFO, DEBUG"
87410,1.190587042983455,1,LOW,0.2,0,0,0,3,29,"JDBC Connection [HikariProxyConnection@1170347080 wrapping org.postgresql.jdbc.PgConnection@691e1a28] will not be managed by Spring | 🛰️ Accept-Language: en | ==> Parameters: jhong(String), jhong(String), jhong(String)",18.858805644751826,INFO,15,"TRACE, INFO, DEBUG"
87409,1.190587042983455,1,LOW,0.13333333333333333,0,0,0,2,30,SqlSession [org.apache.ibatis.session.defaults.DefaultSqlSession@60c9feb3] was not registered for synchronization because synchronization is not active | JDBC Connection [HikariProxyConnection@1170347080 wrapping org.postgresql.jdbc.PgConnection@691e1a28] will not be managed by Spring | 🛰️ Accept-Language: en,18.858805644751826,INFO,15,"TRACE, INFO, DEBUG"
