sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority,sample_messages,risk_score,risk_level,log_count,log_levels
457,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,7,binding parameter [1] as [TIMESTAMP] - [2025-02-28T08:45:57.544885091] | binding parameter [1] as [TIMESTAMP] - [2025-02-28T08:47:22.579088724] | binding parameter [1] as [TIMESTAMP] - [2025-02-28T08:48:47.614102935],41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
86982,1.2696890941745536,1,LOW,0.26666666666666666,0,0,0,4,299,"doFilterInternal :::: null // null | Completed cache refresh task for discovery. All Apps hash code is Local region apps hashcode: DOWN_1_UP_6_, is fetching remote regions? false | ",54.787563766982146,MEDIUM,15,"TRACE, INFO, DEBUG"
2358,1.1268199602114188,1,LOW,0.13333333333333333,0,0,0,2,363,doFilterInternal :::: null // null |  | ,49.072798408456755,MEDIUM,15,"TRACE, INFO, DEBUG"
46062,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,372,extracted value ([mdfr_id4_15_] : [VARCHAR]) - [manager] | extracted value ([mdfr_id4_15_] : [VARCHAR]) - [manager] | extracted value ([mdfr_id4_15_] : [VARCHAR]) - [manager],41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
46063,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,380,extracted value ([mdfr_id4_15_] : [VARCHAR]) - [manager] | extracted value ([mdfr_id4_15_] : [VARCHAR]) - [manager] | extracted value ([mdfr_id4_15_] : [VARCHAR]) - [manager],41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
46071,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,381,"binding parameter [1] as [VARCHAR] - [MENU_TYPE_CD] | Decode done, empty stack: true | Config resolved to [AwsEndpoint{ serviceUrl='http://192.168.0.54:9102/eureka/', region='us-east-1', zone='defaultZone'}]",41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
46064,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,382,extracted value ([mdfr_id4_15_] : [VARCHAR]) - [manager] | extracted value ([mdfr_id4_15_] : [VARCHAR]) - [manager] | extracted value ([group_cd2_3_] : [VARCHAR]) - [SYS_CD],41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
46065,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,383,extracted value ([mdfr_id4_15_] : [VARCHAR]) - [manager] | extracted value ([group_cd2_3_] : [VARCHAR]) - [SYS_CD] | binding parameter [1] as [VARCHAR] - [MENU_TYPE_CD],41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
46066,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,384,extracted value ([group_cd2_3_] : [VARCHAR]) - [SYS_CD] | binding parameter [1] as [VARCHAR] - [MENU_TYPE_CD] | ,41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
46067,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,385,binding parameter [1] as [VARCHAR] - [MENU_TYPE_CD] |  | binding parameter [2] as [VARCHAR] - [manager],41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
46068,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,386, | binding parameter [2] as [VARCHAR] - [manager] | extracted value ([group_cd2_3_] : [VARCHAR]) - [SYS_CD],41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
46069,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,387,binding parameter [2] as [VARCHAR] - [manager] | extracted value ([group_cd2_3_] : [VARCHAR]) - [SYS_CD] | binding parameter [1] as [VARCHAR] - [MENU_TYPE_CD],41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
46070,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,388,"extracted value ([group_cd2_3_] : [VARCHAR]) - [SYS_CD] | binding parameter [1] as [VARCHAR] - [MENU_TYPE_CD] | Decode done, empty stack: true",41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
5363,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,393,binding parameter [1] as [TIMESTAMP] - [2025-03-24T09:48:38.381056910] | binding parameter [1] as [TIMESTAMP] - [2025-03-24T09:50:03.398189929] | binding parameter [1] as [TIMESTAMP] - [2025-03-24T09:51:28.416294791],41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
5364,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,394,binding parameter [1] as [TIMESTAMP] - [2025-03-24T09:50:03.398189929] | binding parameter [1] as [TIMESTAMP] - [2025-03-24T09:51:28.416294791] | The total number of all instances in the client now is 7,41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
5365,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,395,binding parameter [1] as [TIMESTAMP] - [2025-03-24T09:51:28.416294791] | The total number of all instances in the client now is 7 | binding parameter [2] as [VARCHAR] - [N],41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
5366,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,396,The total number of all instances in the client now is 7 | binding parameter [2] as [VARCHAR] - [N] | binding parameter [2] as [VARCHAR] - [N],41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
5367,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,397,binding parameter [2] as [VARCHAR] - [N] | binding parameter [2] as [VARCHAR] - [N] | binding parameter [1] as [TIMESTAMP] - [2025-03-24T09:56:53.484655794],41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
5368,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,398,"binding parameter [2] as [VARCHAR] - [N] | binding parameter [1] as [TIMESTAMP] - [2025-03-24T09:56:53.484655794] | Completed cache refresh task for discovery. All Apps hash code is Local region apps hashcode: UP_5_, is fetching remote regions? false",41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
5369,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,399,"binding parameter [1] as [TIMESTAMP] - [2025-03-24T09:56:53.484655794] | Completed cache refresh task for discovery. All Apps hash code is Local region apps hashcode: UP_5_, is fetching remote regions? false | ",41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
5361,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,401,DiscoveryClient_SMETA/192.168.0.54:smeta:9009 - Heartbeat status: 200 |  | binding parameter [1] as [TIMESTAMP] - [2025-03-24T09:48:38.381056910],41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
5373,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,403, |  | DiscoveryClient_SMETA/192.168.0.54:smeta:9009 - registration status: 204,41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
5374,2.724382412180263,1,LOW,0.06666666666666667,0,0,0,1,404, | DiscoveryClient_SMETA/192.168.0.54:smeta:9009 - registration status: 204 | binding parameter [2] as [VARCHAR] - [N],41.86573618270395,MEDIUM,15,"TRACE, INFO, DEBUG"
