sequence_index,anomaly_score,max_severity_score,max_severity_level,avg_severity_score,critical_count,high_count,medium_count,low_count,priority,sample_messages,risk_score,risk_level
87379,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,1,==> Parameters: 1(String) | <==      Total: 0 | 🛰️ Accept-Language: en,33.15605907691273,LOW
87382,1.2489973439001743,8,HIGH,0.6,0,1,0,1,2,==> Parameters: 1(String) | The total number of all instances in the client now is 7 | Got delta update with apps hashcode UP_7_,26.734960158502613,LOW
87378,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,3,binding parameter [1] as [TIMESTAMP] - [2025-07-04T15:22:47.905516945] | ==> Parameters: 1(String) | <==      Total: 0,33.15605907691273,LOW
87380,1.2489973439001743,8,HIGH,0.6666666666666666,0,1,0,2,4,<==      Total: 0 | 🛰️ Accept-Language: en | ==> Parameters: 1(String),26.734960158502613,LOW
87381,1.2489973439001743,8,HIGH,0.6666666666666666,0,1,0,2,5,🛰️ Accept-Language: en | ==> Parameters: 1(String) | The total number of all instances in the client now is 7,26.734960158502613,LOW
87377,1.6770706051275155,8,HIGH,0.6666666666666666,0,1,0,2,6,<==      Total: 150 | binding parameter [1] as [TIMESTAMP] - [2025-07-04T15:22:47.905516945] | ==> Parameters: 1(String),33.15605907691273,LOW
28957,1.0604154867797706,1,LOW,0.2,0,0,0,3,7,"extracted value ([group_cd2_1_] : [VARCHAR]) - [SYS_CD] | binding parameter [1] as [VARCHAR] - [MENU_TYPE_CD] | [channel=0x3086d48a, /192.168.0.54:54904 -> 192.168.0.54/192.168.0.54:6379, epid=0x1, chid=0x1] Received: 4 bytes, 1 commands in the stack",16.90623230169656,INFO
28958,1.1736779053253945,1,LOW,0.26666666666666666,0,0,0,4,8,"binding parameter [1] as [VARCHAR] - [MENU_TYPE_CD] | [channel=0x3086d48a, /192.168.0.54:54904 -> 192.168.0.54/192.168.0.54:6379, epid=0x1, chid=0x1] Received: 4 bytes, 1 commands in the stack | extracted value ([col_4_0_] : [BIGINT]) - [3]",18.605168579880917,INFO
28959,1.2869403238710182,1,LOW,0.26666666666666666,0,0,0,4,9,"[channel=0x3086d48a, /192.168.0.54:54904 -> 192.168.0.54/192.168.0.54:6379, epid=0x1, chid=0x1] Received: 4 bytes, 1 commands in the stack | extracted value ([col_4_0_] : [BIGINT]) - [3] | extracted value ([col_0_0_] : [VARCHAR]) - [UP_EDU_SUPPORT]",20.304104858065273,LOW
28960,1.4002027424166419,1,LOW,0.3333333333333333,0,0,0,5,10,extracted value ([col_4_0_] : [BIGINT]) - [3] | extracted value ([col_0_0_] : [VARCHAR]) - [UP_EDU_SUPPORT] | Converted value on extraction: 301 -> kr.re.bbp.code.CodeValue@c7e9,22.003041136249628,LOW
28967,1.5134651609622658,1,LOW,0.4,0,0,0,6,11,Converted value on extraction: 303 -> kr.re.bbp.code.CodeValue@c7eb | Converted value on extraction: 304 -> kr.re.bbp.code.CodeValue@c7ec | Converted value on extraction: 306 -> kr.re.bbp.code.CodeValue@c7ee,23.701977414433987,LOW
28962,1.6267275795078895,1,LOW,0.4666666666666667,0,0,0,7,12,Converted value on extraction: 301 -> kr.re.bbp.code.CodeValue@c7e9 | Converted value on extraction: 314 -> kr.re.bbp.code.CodeValue@c80b | Converted value on extraction: 307 -> kr.re.bbp.code.CodeValue@c7ef,25.400913692618342,LOW
28963,1.6267275795078895,1,LOW,0.4666666666666667,0,0,0,7,13,Converted value on extraction: 314 -> kr.re.bbp.code.CodeValue@c80b | Converted value on extraction: 307 -> kr.re.bbp.code.CodeValue@c7ef | Converted value on extraction: 317 -> kr.re.bbp.code.CodeValue@c80e,25.400913692618342,LOW
28964,1.6267275795078895,1,LOW,0.4666666666666667,0,0,0,7,14,Converted value on extraction: 307 -> kr.re.bbp.code.CodeValue@c7ef | Converted value on extraction: 317 -> kr.re.bbp.code.CodeValue@c80e | Converted value on extraction: 305 -> kr.re.bbp.code.CodeValue@c7ed,25.400913692618342,LOW
28965,1.6267275795078895,1,LOW,0.4,0,0,0,6,15,Converted value on extraction: 317 -> kr.re.bbp.code.CodeValue@c80e | Converted value on extraction: 305 -> kr.re.bbp.code.CodeValue@c7ed | Converted value on extraction: 303 -> kr.re.bbp.code.CodeValue@c7eb,25.400913692618342,LOW
28797,1.0426101287901257,1,LOW,0.2,0,0,0,3,16,Converted value on extraction: 320 -> kr.re.bbp.code.CodeValue@c826 | Converted value on extraction: 307 -> kr.re.bbp.code.CodeValue@c7ef | Converted value on extraction: 305 -> kr.re.bbp.code.CodeValue@c7ed,16.639151931851885,INFO
28796,1.1558725473357496,1,LOW,0.2,0,0,0,3,17,Converted value on extraction: 318 -> kr.re.bbp.code.CodeValue@c80f | Converted value on extraction: 320 -> kr.re.bbp.code.CodeValue@c826 | Converted value on extraction: 307 -> kr.re.bbp.code.CodeValue@c7ef,18.338088210036243,INFO
